"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Anthocharis cardamines","Aphantopus hyperantus","Aporia crataegi","Araschnia levana","Argynnis adippe","Argynnis aglaja","Argynnis niobe","Argynnis paphia","Boloria euphrosyne","Boloria selene","Brenthis ino","Callophrys rubi","Carterocephalus silvicola","Celastrina argiolus","Coenonympha glycerion","Coenonympha pamphilus","Colias palaeno","Erebia ligea","Euphydryas maturna","Gonepteryx rhamni","Issoria lathonia","Leptidea sinapis","Limenitis populi","Lycaena hippothoe","Lycaena phlaeas","Lycaena virgaureae","Melitaea athalia","Nymphalis antiopa","Nymphalis c-album","Nymphalis io","Nymphalis urticae","Ochlodes sylvanus","Papilio machaon","Pararge aegeria","Pararge maera","Pararge petropolitana","Parnassius mnemosyne","Pieris brassicae","Pieris daplidice","Pieris napi","Pieris rapae","Plebeius amandus","Plebeius argus","Plebeius artaxerxes","Plebeius eumedon","Plebeius icarus","Plebeius idas","Plebeius optilete","Plebeius semiargus","Pyrgus alveus","Pyrgus malvae","Satyrium pruni","Thecla betulae","Thymelicus lineola","Vanessa atalanta","Vanessa cardui"
"butterfly_dec_3_SB_SampleID_36",361886.000006356,6690191.00000844,2003,595.817928314209,4.95833337306976,121,0.0975,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1
"butterfly_dec_3_SB_SampleID_37",361886.000005183,6690191.00000285,2004,1145.9510717392,5.19999989618858,140,0.2425,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0
"butterfly_dec_3_SB_SampleID_38",361886.000006745,6690191.00000871,2005,860.447901725769,5.54166661699612,141,-0.2675,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0
"butterfly_dec_3_SB_SampleID_39",361886.00000422,6690191.00000252,2006,632.695762634277,5.92500003178916,138,-0.2075,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
"butterfly_dec_3_SB_SampleID_40",361886.000007149,6690191.00000262,2007,927.037872314453,6.04999993617336,85,0.173333333333333,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0
"butterfly_dec_3_SB_SampleID_41",402370.000005274,6690691.00000829,1999,715.345003128052,5.60833332935969,134,0.390833333333333,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
"butterfly_dec_3_SB_SampleID_42",402370.000009324,6690691.00000293,2000,861.316582679749,6.47499998410542,85,0.206666666666667,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0
"butterfly_dec_3_SB_SampleID_43",402370.000000495,6690691.00000316,2001,895.35139465332,5.20000013460715,144,-0.1825,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0
"butterfly_dec_3_SB_SampleID_44",402370.000008157,6690691.00000661,2002,634.729585647583,5.34166653764744,168,0.0391666666666667,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1
"butterfly_dec_3_SB_SampleID_45",402370.000003034,6690691.0000001,2003,616.557512283325,4.9916665951411,128,0.0975,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1
"butterfly_dec_3_SB_SampleID_46",402370.000001347,6690691.00000412,2004,1158.06836271286,5.22500000397363,138,0.2425,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"butterfly_dec_3_SB_SampleID_47",402370.000002279,6690691.00000795,2005,881.529085159301,5.69999998807908,123,-0.2675,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"butterfly_dec_3_SB_SampleID_48",402370.000007699,6690691.00000393,2006,596.302448272705,5.99999997019768,130,-0.2075,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0
"butterfly_dec_3_SB_SampleID_49",402370.000009727,6690691.00000065,2007,852.914855957031,6.24999999379118,83,0.173333333333333,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1
"butterfly_dec_3_SB_SampleID_50",429417.000000984,6691940.00000399,2003,716.308046340942,4.9083333214124,132,0.0975,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1
"butterfly_dec_3_SB_SampleID_51",429417.000005311,6691940.0000032,2004,1163.96753883362,5.19166665275891,145,0.2425,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0
