"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrostis capillaris","Betula pubescens","Calamagrostis arundinacea","Calamagrostis epigejos","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Gymnocarpium dryopteris","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Orthilia secunda","Picea abies","Pinus sylvestris","Populus tremula","Rubus saxatilis","Salix phylicifolia","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_3_MB_SampleID_128",548810,7191490,2006,751.93787574768,2.02499998609225,187,-0.2075,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1
"plant_dec_3_MB_SampleID_129",612780,7191890,2006,664.826356887817,1.55000005165737,200,-0.2075,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_130",436850,7206680,2006,528.464992523193,3.12500000496706,179,-0.2075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"plant_dec_3_MB_SampleID_131",468840,7206680,2006,597.930212020874,2.6500001847744,179,-0.2075,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_132",564800,7206680,2006,722.11096382141,1.68333326776822,192,-0.2075,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1
"plant_dec_3_MB_SampleID_133",580800,7206680,2006,697.774461746216,1.57500005761782,189,-0.2075,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_134",548810,7207080,2006,705.967336654663,1.84166671832402,190,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_135",452850,7222680,2006,548.014328956604,2.76666673024496,183,-0.2075,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
"plant_dec_3_MB_SampleID_136",532820,7222680,2006,666.745440483094,1.88333330551783,176,-0.2075,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1
"plant_dec_3_MB_SampleID_137",612780,7222680,2006,695.471467971802,1.30833325783411,201,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_138",628780,7222680,2006,712.143831253052,1.14166667064032,202,-0.2075,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_139",420860,7223480,2006,427.959041595459,3.37500015894571,170,-0.2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_140",532820,7238670,2006,628.169094085694,1.77499999602635,191,-0.2075,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1
"plant_dec_3_MB_SampleID_141",548810,7238670,2006,654.119112014771,1.57500003774961,196,-0.2075,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_142",564800,7238670,2006,687.747388839721,1.26666679978371,201,-0.2075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
"plant_dec_3_MB_SampleID_143",436850,7239470,2006,504.941143035889,2.73333349823953,176,-0.2075,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_144",452850,7254660,2006,498.206789970398,2.52499997615814,175,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_145",500830,7254660,2006,545.043614387513,2.09166667858761,173,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_146",516820,7254660,2006,592.196628570557,1.84166669845581,190,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_147",532820,7254660,2006,622.712327957153,1.65833328664302,192,-0.2075,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"plant_dec_3_MB_SampleID_148",484830,7255460,2006,549.165651321411,2.17500001192094,177,-0.2075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"plant_dec_3_MB_SampleID_149",484830,7270660,2006,546.972130775452,1.95833337803681,182,-0.2075,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_150",516820,7271460,2006,598.580949783325,1.60000009338061,192,-0.2075,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_151",452850,7286650,2006,539.866030693054,2.22499996920428,183,-0.2075,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
"plant_dec_3_MB_SampleID_152",500830,7287050,2006,556.072463989258,1.70833320667347,181,-0.2075,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_153",375880,7341830,2006,541.44891834259,1.73333330949147,190,-0.2075,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_154",439850,7341830,2006,470.792973518372,1.92500009884437,183,-0.2075,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_155",407870,7343030,2006,481.801399230957,1.98333335667849,184,-0.2075,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
