"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Melampyrum sylvaticum","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_2_NB_SampleID_95",407870,7485770,1995,661.135962486267,-0.633333262056111,218,-0.0808333333333333,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_96",471840,7485770,1995,695.441711425781,-0.725000088413555,221,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"plant_dec_2_NB_SampleID_97",503830,7485770,1995,707.460200309754,-0.749999905625975,220,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_98",535810,7485770,1995,745.905952453613,-0.700000093628961,218,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
"plant_dec_2_NB_SampleID_99",375880,7486370,1995,722.81395816803,-0.791666671633707,221,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1
"plant_dec_2_NB_SampleID_100",407870,7486370,1995,661.135962486267,-0.633333262056111,218,-0.0808333333333333,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_101",471840,7486370,1995,695.441711425781,-0.725000088413555,221,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_102",503830,7486370,1995,707.460200309754,-0.749999905625975,220,-0.0808333333333333,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_103",535810,7486370,1995,745.905952453613,-0.700000093628961,218,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_104",567800,7486370,1995,758.153491973877,-0.675000047932069,218,-0.0808333333333333,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_105",599790,7486370,1995,778.766403198242,-0.791666748623051,220,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_106",375880,7486970,1995,748.393973350525,-1.03333349525929,221,-0.0808333333333333,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1
"plant_dec_2_NB_SampleID_107",471840,7486970,1995,696.64746761322,-0.841666519641883,223,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_108",567800,7486970,1995,758.297174453735,-0.700000092387206,218,-0.0808333333333333,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_109",599790,7486970,1995,765.11188697815,-0.708333405355602,220,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0
"plant_dec_2_NB_SampleID_110",359880,7509760,1995,784.142274856566,-1.25833323597909,221,-0.0808333333333333,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
"plant_dec_2_NB_SampleID_111",391870,7509760,1995,760.292818069458,-1.29999991257985,222,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"plant_dec_2_NB_SampleID_112",455850,7509760,1995,723.764699935914,-1.15833318233489,223,-0.0808333333333333,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
"plant_dec_2_NB_SampleID_113",519820,7509760,1995,716.416855812073,-1.09166657427946,222,-0.0808333333333333,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_114",551810,7509760,1995,774.093354225158,-1.10833323498567,218,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_115",583790,7509760,1995,731.66685295105,-0.81666681667169,216,-0.0808333333333333,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_116",359880,7510360,1995,784.142274856566,-1.25833323597909,221,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_117",423860,7510360,1995,713.778003692627,-0.991666689515111,223,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_118",487830,7510360,1995,653.740606307984,-0.924999982118608,224,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"plant_dec_2_NB_SampleID_119",519820,7510360,1995,716.416855812073,-1.09166657427946,222,-0.0808333333333333,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_120",551810,7510360,1995,774.093354225158,-1.10833323498567,218,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_121",583790,7510360,1995,731.66685295105,-0.81666681667169,216,-0.0808333333333333,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_122",423860,7510960,1995,713.778003692627,-0.991666689515111,223,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1
"plant_dec_2_NB_SampleID_123",455850,7510960,1995,723.764699935914,-1.15833318233489,223,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1
"plant_dec_2_NB_SampleID_124",519820,7510960,1995,716.416855812073,-1.09166657427946,222,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_125",551810,7510960,1995,774.093354225158,-1.10833323498567,218,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_126",583790,7510960,1995,731.66685295105,-0.81666681667169,216,-0.0808333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_127",503830,7533750,1995,694.293732643127,-1.25000002980233,223,-0.0808333333333333,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_128",535810,7533750,1995,755.181709289551,-1.21666681766509,219,-0.0808333333333333,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
"plant_dec_2_NB_SampleID_129",599790,7533750,1995,703.173602104187,-0.741666679581004,219,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_130",375880,7534350,1995,744.436758995056,-1.3333332935969,222,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_131",535810,7534350,1995,755.181709289551,-1.21666681766509,219,-0.0808333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_132",567800,7534350,1995,753.546953201293,-1.05833329757053,217,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_133",599790,7534350,1995,703.173602104187,-0.741666679581004,219,-0.0808333333333333,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_134",407870,7534950,1995,721.848581314087,-1.17499985297521,223,-0.0808333333333333,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_135",439850,7534950,1995,734.172428131103,-1.23333316047985,223,-0.0808333333333333,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_136",535810,7534950,1995,755.181709289551,-1.21666681766509,219,-0.0808333333333333,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_137",599790,7534950,1995,703.173602104187,-0.741666679581004,219,-0.0808333333333333,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
"plant_dec_2_NB_SampleID_138",359880,7557740,1995,705.148609161376,-1.67500012119612,224,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_139",455850,7557740,1995,768.028581619263,-1.45833353201549,221,-0.0808333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_140",551810,7557740,1995,784.091474533081,-1.30000000198682,222,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_141",423860,7558340,1995,776.820857524872,-1.57500010728836,221,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_142",519820,7558340,1995,771.26362991333,-1.31666665275892,222,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_143",551810,7558340,1995,784.091474533081,-1.30000000198682,222,-0.0808333333333333,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_144",583790,7558340,1995,719.571829795838,-0.866666724284476,219,-0.0808333333333333,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
"plant_dec_2_NB_SampleID_145",455850,7558940,1995,768.028581619263,-1.45833353201549,221,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_146",487830,7558940,1995,714.370772361755,-1.32499998807906,223,-0.0808333333333333,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_147",551810,7558940,1995,784.091474533081,-1.30000000198682,222,-0.0808333333333333,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
