"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrostis capillaris","Alnus incana","Andromeda polifolia","Angelica sylvestris","Betula nana","Betula pendula","Betula pubescens","Calamagrostis arundinacea","Calamagrostis canescens","Calamagrostis epigejos","Calamagrostis purpurea","Calluna vulgaris","Carex canescens","Carex globularis","Cirsium helenioides","Convallaria majalis","Cornus suecica","Deschampsia cespitosa","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Eriophorum vaginatum","Geranium sylvaticum","Gymnocarpium dryopteris","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Melica nutans","Orthilia secunda","Oxalis acetosella","Picea abies","Pinus sylvestris","Populus tremula","Rubus arcticus","Rubus chamaemorus","Rubus idaeus","Rubus saxatilis","Salix aurita","Salix caprea","Salix phylicifolia","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium oxycoccos","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_1_MB_SampleID_173",660760,7015960,1985,787.233581542969,-0.299999992052728,188,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_174",676760,7015960,1985,729.960352897644,-0.43333341677984,191,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_175",692750,7015960,1985,720.970592498779,-0.416666706403101,191,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
"plant_dec_1_MB_SampleID_176",708750,7015960,1985,700.675207138061,-0.583333383003877,193,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"plant_dec_1_MB_SampleID_177",276920,7030750,1985,504.173264503479,0.724999954303107,160,-0.183333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"plant_dec_1_MB_SampleID_178",292910,7030750,1985,547.847950935364,0.65833317240079,162,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_179",564800,7030750,1985,687.438014984131,-0.341666688521703,196,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"plant_dec_1_MB_SampleID_180",580800,7030760,1985,694.778532981873,-0.508333315451937,196,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_181",596790,7030760,1985,696.61429977417,-0.683333257834116,195,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"plant_dec_1_MB_SampleID_182",644770,7030760,1985,760.14437198639,-0.424999803304682,185,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
