"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Geranium sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium microcarpon","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_1_NB_SampleID_21",631780,7293850,1985,661.45275592804,-2.75000005960464,207,-0.183333333333333,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"plant_dec_1_NB_SampleID_22",503830,7294450,1985,696.018021583557,-1.94166682163874,209,-0.183333333333333,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"plant_dec_1_NB_SampleID_23",599790,7294450,1985,665.657199859618,-2.66666655739149,215,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_24",631780,7294450,1985,661.45275592804,-2.75000005960464,207,-0.183333333333333,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_25",599790,7295050,1985,665.657199859618,-2.66666655739149,215,-0.183333333333333,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
"plant_dec_1_NB_SampleID_26",532820,7303050,1985,706.842840194703,-2.35833327968915,211,-0.183333333333333,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
"plant_dec_1_NB_SampleID_27",532820,7303450,1985,706.842840194703,-2.35833327968915,211,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1
"plant_dec_1_NB_SampleID_28",532820,7303840,1985,706.842840194703,-2.35833327968915,211,-0.183333333333333,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1
"plant_dec_1_NB_SampleID_29",487830,7317840,1985,632.116011619568,-2.1250001192093,201,-0.183333333333333,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_30",583790,7317840,1985,653.230324745178,-3.06666662295659,216,-0.183333333333333,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1
