"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_MB_SampleID_75",316560,6923130,2015,809.197395324707,5.16666656546295,86,0.433333333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"mammals_dec_4_MB_SampleID_76",316560,6923130,2017,712.681243896484,3.95000003029903,118,0.225833333333333,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_MB_SampleID_77",412840,6923640,2009,684.405868530273,3.25000003228584,150,-0.243333333333333,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_78",412840,6923640,2011,1087.3204498291,4.40833336611589,139,0.293333333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_79",412840,6923640,2012,1135.69910430908,2.6416668643554,167,-0.455833333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_80",412840,6923640,2013,832.466522216797,4.4416668266058,156,0.21,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1
"mammals_dec_4_MB_SampleID_81",375540,6923890,2008,1154.23963260651,4.42500000571211,157,-0.378333333333333,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_82",375540,6923890,2010,724.050088882447,1.99166679382324,180,-1.1525,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_83",375540,6923890,2012,1128.18419647217,2.8000001013279,162,-0.455833333333333,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_84",375540,6923890,2014,711.142938613892,4.75000006767611,93,0.186666666666667,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_85",423700,6924840,2017,746.261772155762,3.86666661314666,158,0.225833333333333,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
"mammals_dec_4_MB_SampleID_86",278760,6925850,2009,563.99347114563,3.72500000397364,123,-0.243333333333333,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_4_MB_SampleID_87",278760,6925850,2010,631.406579971313,2.24999994039536,161,-1.1525,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_4_MB_SampleID_88",278760,6925850,2012,1012.5229549408,3.26666662096978,150,-0.455833333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_4_MB_SampleID_89",278760,6925850,2013,728.443989753724,4.65000000347694,134,0.21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_90",278760,6925850,2015,833.686699867248,5.38333343714476,108,0.433333333333333,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
"mammals_dec_4_MB_SampleID_91",382390,6927080,2017,782.130403518677,3.65833329409361,185,0.225833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_92",294670,6928470,2013,697.343914985658,4.6499999637405,134,0.21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_93",294670,6928470,2017,723.921986579895,4.07500004271667,106,0.225833333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_MB_SampleID_94",301280,6929030,2016,711.00232410431,4.13333336512247,131,-0.0383333333333333,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"mammals_dec_4_MB_SampleID_95",331300,6929220,2008,854.456634998322,4.59166665871938,131,-0.378333333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_96",331300,6929220,2009,534.760168075562,3.44999991357327,138,-0.243333333333333,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_97",331300,6929220,2013,705.261551856994,4.49999997019768,149,0.21,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_98",403820,6929800,2014,772.889532089233,4.65833333320915,130,0.186666666666667,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_MB_SampleID_99",403820,6929800,2017,806.947671890258,3.70833331346512,185,0.225833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_100",242630,6929810,2015,993.258857727052,5.38333329682549,97,0.433333333333333,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_101",424790,6930360,2009,636.156897544861,3.37499998013178,155,-0.243333333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_MB_SampleID_102",424790,6930360,2011,966.541919708251,4.53333333320915,138,0.293333333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
"mammals_dec_4_MB_SampleID_103",424790,6930360,2012,992.59711074829,2.78333329161009,164,-0.455833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_MB_SampleID_104",424790,6930360,2017,768.941723823547,3.75000009934107,178,0.225833333333333,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
"mammals_dec_4_MB_SampleID_105",229340,6930880,2015,993.465738296509,5.74166667461396,79,0.433333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"mammals_dec_4_MB_SampleID_106",319760,6933070,2015,808.05197429657,5.16666663686435,82,0.433333333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_4_MB_SampleID_107",282720,6933870,2008,872.678663253784,4.8916667252779,127,-0.378333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"mammals_dec_4_MB_SampleID_108",282720,6933870,2013,725.035096168519,4.66666673372189,128,0.21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_109",282720,6933870,2015,850.350509643554,5.35833341131608,77,0.433333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_110",282720,6933870,2016,726.264938354492,4.18333339691162,129,-0.0383333333333333,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"mammals_dec_4_MB_SampleID_111",383990,6934770,2012,1147.63373184204,2.57499990860622,162,-0.455833333333333,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0
"mammals_dec_4_MB_SampleID_112",383990,6934770,2014,718.764539718628,4.5166665961345,119,0.186666666666667,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_113",383990,6934770,2016,878.566106796265,3.67500001192094,160,-0.0383333333333333,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1
"mammals_dec_4_MB_SampleID_114",222970,6935430,2013,854.929885864258,5.31666664903362,124,0.21,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_115",222970,6935430,2016,713.65274143219,4.86666650076706,103,-0.0383333333333333,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_116",413060,6937240,2017,784.534158706665,3.68333331992229,187,0.225833333333333,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_117",268200,6939110,2015,892.677183151244,5.34166670963168,82,0.433333333333333,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
