"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_2_MB_SampleID_78",349580,6914660,1996,801.432720184326,2.51666657129924,157,-0.214166666666667,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_79",415690,6915410,1993,685.095705032348,2.83333333333334,171,0.179166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_80",402590,6915790,1993,742.625173568726,2.82499999801318,168,0.179166666666667,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1
"mammals_dec_2_MB_SampleID_81",236160,6919510,1992,889.386083602906,4.29999993989865,162,0.580833333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_82",236160,6919510,1993,820.386854171753,3.5083332657814,146,0.179166666666667,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_83",236160,6919510,1994,654.961844444275,3.1666667163372,151,0.575833333333333,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_84",236160,6919510,1997,738.563097000122,4.06666668752829,164,-0.156666666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_85",391270,6922080,1993,730.71697807312,2.73333328962326,187,0.179166666666667,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_86",412840,6923640,1993,727.253266811371,2.62499994039536,171,0.179166666666667,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_87",412840,6923640,1994,788.467668294907,2.44166664282481,182,0.575833333333333,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_88",375540,6923890,1994,739.636551082135,2.48333338896434,182,0.575833333333333,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"mammals_dec_2_MB_SampleID_89",371580,6925240,1991,922.078508377074,3.47499999403953,139,0.268333333333333,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_90",371580,6925240,1995,731.827411651611,3.41666673620542,183,-0.0808333333333333,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1
"mammals_dec_2_MB_SampleID_91",278760,6925850,1992,904.537667274475,4.10000001080333,183,0.580833333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_92",382390,6927080,1990,778.766960144043,3.86666669199864,145,0.594166666666667,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_93",382390,6927080,1994,760.003766864539,2.41666672627131,178,0.575833333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_94",382390,6927080,1997,787.55228805542,3.13333330055078,175,-0.156666666666667,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_95",294670,6928470,1992,897.477476119996,4.10833333991468,177,0.580833333333333,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_96",294670,6928470,1993,773.680900096893,3.30833337704341,133,0.179166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
