"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_SB_SampleID_99",318820,6687630,2004,1080.27138614655,5.16666662444671,147,0.2425,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_3_SB_SampleID_100",304650,6687890,2000,1013.36601257324,6.38333324591319,114,0.206666666666667,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"mammals_dec_3_SB_SampleID_101",304650,6687890,2001,865.543064117432,5.20833333705863,154,-0.1825,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_102",304650,6687890,2002,710.607907056809,5.33333337679507,177,0.0391666666666667,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_103",304650,6687890,2006,641.950467586518,5.96666655937832,134,-0.2075,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_104",370010,6688210,2001,900.950998306275,5.15833326925833,155,-0.1825,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_105",370010,6688210,2002,637.927646160126,5.35000003191332,185,0.0391666666666667,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_106",370010,6688210,2003,593.209931373596,4.97499990463256,127,0.0975,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_3_SB_SampleID_107",332210,6689050,2003,620.801504135132,4.94999996821085,135,0.0975,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_108",331790,6689180,2007,1006.42796802521,6.07500002967814,88,0.173333333333333,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_109",320030,6689510,2002,756.528388500213,5.30833336897195,177,0.0391666666666667,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1
"mammals_dec_3_SB_SampleID_110",306530,6689680,2001,865.543064117432,5.20833333705863,154,-0.1825,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_111",378460,6689940,2001,869.266683578491,5.26666666567325,146,-0.1825,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_112",378460,6689940,2006,614.356793403626,6.04166672627132,131,-0.2075,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_113",313310,6690390,2007,1017.40045928955,6.02499989854793,89,0.173333333333333,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_114",378050,6690790,2001,869.266683578491,5.26666666567325,146,-0.1825,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_115",435060,6690950,2006,668.999689102173,5.76666661103566,129,-0.2075,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_116",405870,6691020,2007,862.602169990539,6.24166668641071,83,0.173333333333333,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1
"mammals_dec_3_SB_SampleID_117",383210,6691050,2002,598.933742523193,5.44999999428788,177,0.0391666666666667,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_118",383210,6691050,2003,592.015382766723,5.07500004768372,122,0.0975,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_119",383210,6691050,2006,614.356793403626,6.04166672627132,131,-0.2075,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
"mammals_dec_3_SB_SampleID_120",348430,6691390,2003,599.501619338989,5.01666672031085,124,0.0975,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1
