"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_2_SB_SampleID_130",493480,6741880,1992,633.428697109223,5.14999998609225,199,0.580833333333333,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_SB_SampleID_131",493480,6741880,1994,764.14318561554,3.94166660308838,165,0.575833333333333,1,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_132",493480,6741880,1995,746.254261016846,4.84166668603818,176,-0.0808333333333333,0,0,1,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_133",545240,6741990,1990,827.765037536621,5.15833331830799,133,0.594166666666667,1,0,0,1,1,0,1,1,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_134",545240,6741990,1994,794.231371164322,3.84166676799457,137,0.575833333333333,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"mammals_dec_2_SB_SampleID_135",545240,6741990,1995,769.765071868897,4.69999990860621,167,-0.0808333333333333,0,0,0,1,1,1,0,1,1,1,0,1,0,0
"mammals_dec_2_SB_SampleID_136",266160,6743560,1991,780.172501564026,5.11666665474575,110,0.268333333333333,1,0,0,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_137",266160,6743560,1996,737.92843580246,3.81666670242945,143,-0.214166666666667,1,0,0,1,0,0,0,1,0,0,1,0,0,1
"mammals_dec_2_SB_SampleID_138",543490,6745120,1989,730.701932907105,6.00000006208817,142,0.701666666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_139",543490,6745120,1993,668.961705684661,3.66666670640309,116,0.179166666666667,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"mammals_dec_2_SB_SampleID_140",364850,6745360,1995,724.753122329712,4.83333340038856,158,-0.0808333333333333,0,0,1,1,0,0,0,0,0,0,1,0,0,1
"mammals_dec_2_SB_SampleID_141",517500,6745960,1989,700.372018814087,5.99166673670212,141,0.701666666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_142",517500,6745960,1992,642.67116355896,4.94166651864846,175,0.580833333333333,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_143",517500,6745960,1993,626.436804771423,3.73333339889844,134,0.179166666666667,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_144",551520,6746190,1990,827.765037536621,5.15833331830799,133,0.594166666666667,1,0,0,1,0,0,0,0,1,0,0,1,0,1
"mammals_dec_2_SB_SampleID_145",551520,6746190,1993,680.414158821106,3.65833334128062,123,0.179166666666667,1,1,0,1,0,0,0,0,0,1,0,1,1,1
"mammals_dec_2_SB_SampleID_146",551520,6746190,1997,645.080879211426,4.22500018775464,124,-0.156666666666667,1,0,0,1,0,1,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_147",202940,6746570,1991,780.277087211609,5.94166675085823,73,0.268333333333333,1,0,1,1,0,0,0,0,0,1,0,1,0,1
"mammals_dec_2_SB_SampleID_148",390870,6747330,1991,695.47456741333,4.70000000794729,126,0.268333333333333,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_149",390870,6747330,1993,705.297619819641,3.92499992251397,129,0.179166666666667,0,0,1,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_150",390870,6747330,1996,752.457296848298,3.43333327770233,142,-0.214166666666667,0,0,1,1,0,0,0,0,0,0,1,1,1,1
"mammals_dec_2_SB_SampleID_151",390870,6747330,1997,766.369896888733,4.55833338201046,124,-0.156666666666667,0,0,1,1,0,0,0,0,0,0,1,1,1,1
"mammals_dec_2_SB_SampleID_152",249170,6747450,1990,776.499820709229,5.88333328564962,78,0.594166666666667,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_153",249170,6747450,1991,824.780138969421,5.17500007152558,92,0.268333333333333,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_154",249170,6747450,1992,686.943697929382,5.47499996920426,87,0.580833333333333,0,0,0,1,0,0,0,1,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_155",526580,6747530,1990,835.182830810547,5.04166667473813,135,0.594166666666667,1,0,0,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_156",344740,6748120,1991,721.261915206909,4.77500001589458,127,0.268333333333333,1,0,0,1,0,1,0,0,1,0,1,1,0,1
"mammals_dec_2_SB_SampleID_157",249850,6749250,1995,807.542947769165,5.21666654633979,123,-0.0808333333333333,1,0,0,1,0,1,0,1,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_158",249850,6749250,1996,702.19028043747,3.90833320220311,140,-0.214166666666667,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_159",299290,6750690,1991,725.577235221863,4.87500005960464,127,0.268333333333333,1,0,0,1,0,0,0,1,0,1,1,1,0,1
"mammals_dec_2_SB_SampleID_160",299290,6750690,1992,647.439594268798,5.2083333277454,138,0.580833333333333,0,0,1,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_161",299290,6750690,1993,673.885049819946,4.2416667342186,122,0.179166666666667,1,0,1,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_162",299290,6750690,1997,807.210055351257,4.84999998410543,126,-0.156666666666667,1,0,1,1,0,0,0,0,0,0,1,0,1,1
