"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Gulo gulo","Lepus timidus","Lutra lutra","Mustela erminea","Mustela nivalis","Neovison vison","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_NB_SampleID_657",374770,7418090,2007,875.567739486694,1.23333334922789,190,0.173333333333333,1,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_658",494830,7419820,1998,910.838291168213,-1.55000008145968,209,-0.480833333333333,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_659",494830,7419820,2002,711.292949676513,-0.166666666666657,198,0.0391666666666667,1,0,1,1,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_660",494830,7419820,2003,579.984230041504,0.691666688770047,207,0.0975,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_661",494830,7419820,2004,796.445366859436,0.691666619231314,198,0.2425,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_662",494830,7419820,2005,733.925987243652,1.71666663885117,201,-0.2675,1,0,1,1,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_663",494830,7419820,2006,496.929731369018,0.858333289623263,205,-0.2075,0,0,1,1,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_664",494830,7419820,2007,764.870840072632,1.05000002371768,197,0.173333333333333,1,0,1,1,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_665",501840,7420460,1999,664.350112915039,-0.0666665931542794,202,0.390833333333333,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_666",501840,7420460,2000,877.345273971558,1.55833327956497,203,0.206666666666667,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_667",501840,7420460,2001,722.902552604675,-0.116666585206982,205,-0.1825,1,0,1,1,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_668",501840,7420460,2002,711.292949676513,-0.166666666666657,198,0.0391666666666667,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_669",501840,7420460,2003,579.984230041504,0.691666688770047,207,0.0975,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_670",501840,7420460,2004,796.445366859436,0.691666619231314,198,0.2425,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_671",501840,7420460,2005,733.925987243652,1.71666663885117,201,-0.2675,1,0,1,0,0,0,0,1,0,1
