"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Capreolus capreolus","Gulo gulo","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_NB_SampleID_63",563160,7274600,2010,798.598271369934,-0.208333492279067,193,-1.1525,0,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_64",563160,7274600,2011,1092.86856746674,2.23333324988683,158,0.293333333333333,0,0,0,1,0,0,0,0,1,0,1,0,1
"mammals_dec_4_NB_SampleID_65",563160,7274600,2012,975.645191192627,0.141666611035668,191,-0.455833333333333,0,0,0,1,1,0,0,1,0,0,1,0,1
"mammals_dec_4_NB_SampleID_66",563160,7274600,2013,868.64269065857,2.02500008046627,178,0.21,0,0,0,1,0,0,1,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_67",563160,7274600,2014,738.508964538574,2.04166662320494,176,0.186666666666667,0,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_68",554270,7276210,2008,991.915168762208,1.55833329757055,185,-0.378333333333333,0,0,0,1,0,0,0,1,0,0,1,0,1
"mammals_dec_4_NB_SampleID_69",554270,7276210,2009,692.873657226562,0.966666609048826,207,-0.243333333333333,0,0,0,1,0,0,0,1,0,0,1,0,1
"mammals_dec_4_NB_SampleID_70",554270,7276210,2010,798.598271369934,-0.208333492279067,193,-1.1525,1,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_71",554270,7276210,2011,1092.86856746674,2.23333324988683,158,0.293333333333333,1,0,0,1,1,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_72",554270,7276210,2012,975.645191192627,0.141666611035668,191,-0.455833333333333,1,0,0,1,1,0,0,1,1,0,1,0,1
"mammals_dec_4_NB_SampleID_73",554270,7276210,2013,868.64269065857,2.02500008046627,178,0.21,1,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_74",554270,7276210,2014,738.508964538574,2.04166662320494,176,0.186666666666667,0,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_75",554270,7276210,2015,1223.31838798523,2.3500000188748,189,0.433333333333333,0,0,0,1,0,1,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_76",554270,7276210,2016,913.650384902954,1.94999995827675,186,-0.0383333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_77",554270,7276210,2017,766.66563796997,1.05833328763644,212,0.225833333333333,1,0,0,1,0,0,0,1,1,0,1,1,1
"mammals_dec_4_NB_SampleID_78",560600,7277540,2008,973.800724029542,1.48333329459032,201,-0.378333333333333,1,0,0,1,0,0,0,0,1,0,1,0,1
"mammals_dec_4_NB_SampleID_79",560600,7277540,2009,725.902729034424,0.883333484331755,210,-0.243333333333333,1,0,0,1,0,0,0,1,0,0,1,0,1
"mammals_dec_4_NB_SampleID_80",560600,7277540,2010,775.244898796082,-0.258333365122476,197,-1.1525,0,0,0,1,1,0,0,1,1,0,1,0,1
"mammals_dec_4_NB_SampleID_81",560600,7277540,2012,990.549438476563,0.0833333532015507,200,-0.455833333333333,0,0,0,1,0,0,0,0,1,0,1,0,1
"mammals_dec_4_NB_SampleID_82",560600,7277540,2013,876.172031402588,1.94166672726472,190,0.21,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_83",560600,7277540,2015,1201.02810096741,2.4249999721845,193,0.433333333333333,0,0,0,1,1,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_84",560600,7277540,2016,917.864298820497,2.01666669050852,183,-0.0383333333333333,1,0,0,1,1,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_85",546100,7280820,2013,890.455556869506,1.90833329657713,201,0.21,1,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_86",536930,7282090,2010,786.968238830566,-0.258333275715512,202,-1.1525,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_87",536930,7282090,2012,986.05606842041,0.0916666686534835,209,-0.455833333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_88",536930,7282090,2013,902.230520248412,1.92499993741512,207,0.21,1,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_89",536930,7282090,2014,773.306373596191,2.01666661910713,212,0.186666666666667,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_90",564190,7285690,2008,947.053955078124,1.42499992748102,201,-0.378333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_91",564190,7285690,2009,742.975432395935,0.833333353201542,210,-0.243333333333333,0,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_92",564190,7285690,2010,751.136503219604,-0.274999996026361,196,-1.1525,0,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_93",564190,7285690,2011,1008.32756137848,2.1333334048589,161,0.293333333333333,1,0,0,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_94",564190,7285690,2012,993.872371673583,0.0499999324480616,200,-0.455833333333333,0,0,0,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_95",564190,7285690,2013,879.95065498352,1.92499994734923,190,0.21,0,0,0,1,0,0,0,0,1,0,1,1,1
"mammals_dec_4_NB_SampleID_96",564190,7285690,2014,766.851301193237,1.90833337108295,200,0.186666666666667,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_97",564190,7285690,2015,1165.91733360291,2.46666660904885,193,0.433333333333333,0,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_98",564190,7285690,2017,803.265403747558,1.14166665077209,212,0.225833333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_99",540550,7290270,2008,987.392852783204,1.46666668355465,203,-0.378333333333333,1,0,0,1,0,0,0,1,0,0,0,1,1
"mammals_dec_4_NB_SampleID_100",540550,7290270,2009,763.111976623535,0.858333349227898,212,-0.243333333333333,1,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_101",540550,7290270,2010,788.919943809509,-0.300000071525565,201,-1.1525,1,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_102",540550,7290270,2011,1040.48288536072,2.13333332538604,162,0.293333333333333,1,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_103",540550,7290270,2012,996.62580871582,0.0583332628011665,209,-0.455833333333333,1,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_104",540550,7290270,2013,905.331539154053,1.88333325088024,202,0.21,1,0,0,1,0,0,0,0,0,0,1,1,1
